"Function"	"A1HF"	"A1LF"	"A2HF"	"A2LF"	"B1HF"	"B1LF"	"B2HF"	"B2LF"	"C1HF"	"C1LF"	"C2HF"	"C2LF"
"delayed rectifier potassium channel activity [GO:0005251]"	0	0	0	0	1	0	0	0	1	2	1	2
"delta-catenin binding [GO:0070097]"	0	1	0	0	1	0	1	0	0	2	1	1
"delta1-piperideine-2-carboxylate reductase activity [GO:0047125]"	0	0	0	0	0	0	0	1	0	0	0	0
"delta14-sterol reductase activity [GO:0050613]"	1	0	0	0	2	0	0	0	0	0	1	0
"delta24-sterol reductase activity [GO:0050614]"	0	2	0	0	1	0	0	0	1	2	1	1
"demethylmenaquinone methyltransferase activity [GO:0043770]"	10	16	13	17	12	16	12	17	14	7	11	10
"deoxyadenosine kinase activity [GO:0004136]"	1	0	2	1	2	2	1	2	1	0	1	1
"deoxycytidine deaminase activity [GO:0047844]"	19	22	15	69	33	49	23	51	32	17	26	27
"deoxycytidyl transferase activity [GO:0017125]"	0	1	0	0	0	0	0	0	0	1	0	0
"deoxyguanosine kinase activity [GO:0004138]"	0	2	1	1	2	0	0	2	2	0	0	1
"deoxynucleoside kinase activity [GO:0019136]"	3	5	2	12	2	9	2	10	2	1	3	3
"deoxyribonuclease activity [GO:0004536]"	13	21	15	36	32	25	18	33	23	12	22	16
"deoxyribonuclease I activity [GO:0004530]"	1	1	0	2	1	1	1	1	1	2	4	3
"deoxyribonuclease inhibitor activity [GO:0060703]"	0	1	0	0	0	0	2	0	1	0	2	1
"deoxyribonuclease IV (phage-T4-induced) activity [GO:0008833]"	18	28	15	75	42	53	28	66	33	21	31	32
"deoxyribonuclease V activity [GO:0043737]"	4	5	2	14	7	7	3	10	5	1	3	3
"deoxyribonucleoside 5'-monophosphate N-glycosidase activity [GO:0070694]"	0	0	0	1	0	0	1	1	0	0	0	0
"deoxyribose-phosphate aldolase activity [GO:0004139]"	26	52	31	114	61	95	55	102	51	22	59	52
"deoxyuridine phosphorylase activity [GO:0047847]"	17	34	10	50	21	44	24	53	13	10	17	21
"dephospho-CoA kinase activity [GO:0004140]"	33	54	34	126	55	83	55	112	64	25	66	58
"dethiobiotin synthase activity [GO:0004141]"	8	13	12	29	9	20	7	27	12	9	9	14
"deubiquitinase activator activity [GO:0035800]"	0	0	0	0	0	0	0	0	0	0	0	1
"deubiquitinase activity [GO:0101005]"	0	1	0	0	0	0	0	0	0	0	0	0
"dextransucrase activity [GO:0047849]"	0	0	2	1	1	4	0	2	3	1	2	0
"dGTPase activity [GO:0008832]"	16	16	13	43	28	32	16	27	15	17	16	20
"DH domain binding [GO:0097161]"	0	1	0	0	0	0	3	0	0	1	0	1
"di-trans,poly-cis-decaprenylcistransferase activity [GO:0008834]"	0	1	1	2	5	1	1	1	1	0	1	1
"diacetyl reductase ((S)-acetoin forming) activity [GO:0052588]"	4	3	1	4	5	4	3	3	5	2	4	4
"diacylglyceride transfer activity [GO:0140337]"	0	0	0	0	0	0	1	0	0	0	1	0
"diacylglycerol binding [GO:0019992]"	2	26	3	0	9	2	27	7	7	20	22	30
"diacylglycerol diphosphate phosphatase activity [GO:0000810]"	0	0	0	0	0	0	3	0	1	2	4	5
"diacylglycerol kinase activity [GO:0004143]"	14	43	10	25	30	20	35	33	18	36	37	34
"diacylglycerol O-acyltransferase activity [GO:0004144]"	0	0	0	0	1	0	1	1	1	2	0	0
"diamine N-acetyltransferase activity [GO:0004145]"	6	18	3	24	6	24	7	18	7	9	9	15
"diamine oxidase activity [GO:0052597]"	0	0	0	0	0	0	1	0	0	0	2	1
"diaminobutyrate-2-oxoglutarate transaminase activity [GO:0045303]"	2	0	3	7	3	3	1	5	3	1	1	2
"diaminobutyrate-pyruvate transaminase activity [GO:0047307]"	2	0	3	7	3	3	1	5	3	1	1	2
"diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]"	21	15	17	53	33	38	18	45	30	11	23	26
"diaminopimelate decarboxylase activity [GO:0008836]"	46	59	34	132	100	98	61	131	70	36	63	70
"diaminopimelate dehydrogenase activity [GO:0047850]"	15	24	13	48	25	50	18	43	23	14	25	24
"diaminopimelate epimerase activity [GO:0008837]"	61	75	56	171	97	119	76	166	89	30	77	97
"diaminopropionate ammonia-lyase activity [GO:0008838]"	18	17	20	35	28	31	21	37	22	8	28	19
"dicarboxylic acid transmembrane transporter activity [GO:0005310]"	0	0	0	0	0	0	0	1	0	0	0	0
"diglucosyl diacylglycerol synthase activity [GO:0047257]"	0	1	1	2	0	0	0	1	0	0	1	0
"diguanylate cyclase activity [GO:0052621]"	1	18	4	18	3	14	4	10	3	4	3	10
"dihydroceramidase activity [GO:0071633]"	0	0	0	0	0	0	0	0	0	1	0	0
"dihydroceramide glucosyltransferase activity [GO:0102769]"	0	1	0	0	3	0	0	0	1	4	0	0
"dihydrofolate reductase activity [GO:0004146]"	24	29	18	71	42	50	30	65	35	20	35	31
"dihydrofolate synthase activity [GO:0008841]"	1	1	2	1	1	1	1	1	1	1	1	1
"dihydrolipoyl dehydrogenase activity [GO:0004148]"	29	43	29	65	39	61	34	70	35	24	42	50
"dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]"	1	1	1	1	0	0	2	1	0	0	0	3
"dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]"	2	4	2	3	2	2	2	4	2	2	4	3
"dihydroneopterin aldolase activity [GO:0004150]"	15	24	11	44	31	41	17	46	24	16	22	25
"dihydroorotase activity [GO:0004151]"	45	74	37	154	96	108	75	132	84	33	82	77
"dihydroorotate dehydrogenase (fumarate) activity [GO:1990663]"	4	2	3	4	6	2	1	4	6	0	4	0
"dihydroorotate dehydrogenase activity [GO:0004152]"	59	73	41	141	90	112	61	128	81	35	72	64
"dihydropteroate synthase activity [GO:0004156]"	17	37	17	52	31	36	21	37	24	16	28	27
"dihydropyrimidinase activity [GO:0004157]"	10	1	5	10	4	13	5	8	6	1	7	3
"dihydropyrimidine dehydrogenase (NADP+) activity [GO:0017113]"	2	3	1	3	6	4	7	10	3	5	5	4
"dihydrouracil dehydrogenase (NAD+) activity [GO:0004159]"	3	1	3	4	3	3	4	3	5	1	2	2
"dihydroxy-acid dehydratase activity [GO:0004160]"	49	68	61	151	91	121	72	149	85	37	86	92
"dimethyl sulfoxide reductase activity [GO:0009389]"	6	6	7	30	13	12	14	14	9	2	9	2
"dimethylallyltranstransferase activity [GO:0004161]"	0	0	1	1	0	0	1	0	0	0	1	0
"dimethylargininase activity [GO:0016403]"	1	3	4	7	1	5	4	14	0	4	3	7
"dimethylglycine dehydrogenase activity [GO:0047865]"	0	0	0	0	0	0	0	0	1	0	2	0
"dimethylmaleate hydratase activity [GO:0047868]"	5	12	4	21	6	18	7	17	12	9	10	9
"dinitrosyl-iron complex binding [GO:0035731]"	1	1	1	1	1	1	1	1	1	0	1	0
"dioxygenase activity [GO:0051213]"	36	62	31	57	62	45	64	66	40	58	56	64
"dipeptidase activity [GO:0016805]"	79	102	76	185	117	150	82	199	100	46	113	117
"dipeptide transmembrane transporter activity [GO:0071916]"	0	0	0	0	1	0	0	0	0	0	3	0
"dipeptidyl-peptidase activity [GO:0008239]"	20	27	19	43	30	35	27	45	26	20	28	29
"diphosphate-fructose-6-phosphate 1-phosphotransferase activity [GO:0047334]"	59	96	56	228	132	174	91	224	121	53	126	105
"diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]"	0	7	1	0	3	0	7	2	3	7	8	7
"diphosphomevalonate decarboxylase activity [GO:0004163]"	4	2	3	3	4	2	2	3	5	2	3	2
"diphthine synthase activity [GO:0004164]"	0	1	0	0	0	0	1	0	1	1	1	0
"diphthine-ammonia ligase activity [GO:0017178]"	2	1	0	1	2	2	1	0	1	1	0	1
"disordered domain specific binding [GO:0097718]"	0	6	1	0	6	0	3	0	1	2	3	3
"disulfide oxidoreductase activity [GO:0015036]"	1	1	1	1	1	1	1	1	1	1	1	1
"dITP diphosphatase activity [GO:0035870]"	27	41	30	105	59	81	48	95	57	22	44	40
"DNA (cytosine-5-)-methyltransferase activity [GO:0003886]"	216	236	155	465	326	372	212	442	305	182	264	333
"DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates [GO:0051718]"	0	0	0	0	0	0	0	0	0	0	0	1
"DNA 5'-adenosine monophosphate hydrolase activity [GO:0033699]"	1	0	0	0	0	0	0	0	0	0	0	0
"DNA binding [GO:0003677]"	12756	18336	10559	35989	23294	27772	16893	33545	20335	10581	19768	20415
"DNA binding, bending [GO:0008301]"	2	8	2	0	4	2	6	4	1	14	10	9
"DNA clamp loader activity [GO:0003689]"	1	3	0	0	2	0	2	0	1	5	8	2
"DNA clamp unloader activity [GO:0061860]"	0	0	0	0	0	0	0	0	1	1	2	1
"DNA helicase activity [GO:0003678]"	745	1155	626	2101	1396	1662	1003	2104	1159	656	1144	1248
"DNA ligase (ATP) activity [GO:0003910]"	4	9	5	19	6	9	9	15	10	5	17	13
"DNA ligase (NAD+) activity [GO:0003911]"	98	170	75	287	170	225	147	271	161	79	153	180
"DNA ligase activity [GO:0003909]"	0	1	0	0	0	0	1	0	0	0	1	0
"DNA N-glycosylase activity [GO:0019104]"	64	100	54	220	129	170	78	198	111	59	103	119
"DNA nucleotidylexotransferase activity [GO:0003912]"	0	2	0	0	0	0	1	1	0	2	0	1
"DNA photolyase activity [GO:0003913]"	0	2	0	1	0	1	0	0	0	0	0	2
"DNA polymerase binding [GO:0070182]"	0	2	0	0	1	0	4	0	1	1	2	0
"DNA polymerase processivity factor activity [GO:0030337]"	0	1	2	1	2	0	3	2	0	4	2	3
"DNA primase activity [GO:0003896]"	102	140	73	259	181	233	132	273	172	78	152	157
"DNA replication origin binding [GO:0003688]"	55	93	46	166	97	136	91	151	94	43	91	91
"DNA topoisomerase activity [GO:0003916]"	41	66	34	134	72	105	46	103	66	36	60	74
"DNA topoisomerase binding [GO:0044547]"	0	0	0	0	0	0	0	0	0	0	0	1
"DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]"	184	269	167	480	317	386	228	455	286	170	271	277
"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]"	327	463	232	769	539	629	381	809	470	253	443	470
"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity [GO:0008657]"	1	2	1	1	1	1	1	1	1	1	1	0
"DNA translocase activity [GO:0015616]"	0	0	0	0	2	0	0	0	0	0	2	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]"	1	6	0	5	1	2	3	4	0	6	4	5
"DNA-3-methyladenine glycosylase activity [GO:0008725]"	24	29	17	68	43	48	35	60	40	17	41	31
"DNA-3-methylguanine glycosylase activity [GO:0052822]"	2	2	0	3	6	3	5	7	2	1	4	1
"DNA-3'-diphospho-5'-guanosine diphosphatase [GO:0120108]"	1	0	0	0	0	0	0	0	0	0	0	0
"DNA-7-methyladenine glycosylase activity [GO:0052821]"	2	2	0	3	6	3	5	7	2	1	4	1
"DNA-7-methylguanine glycosylase activity [GO:0043916]"	2	2	0	3	6	3	5	7	2	1	4	1
"DNA-binding transcription activator activity [GO:0001216]"	30	40	29	87	45	63	31	71	48	20	41	43
"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]"	9	45	9	1	27	0	42	5	8	50	45	41
"DNA-binding transcription factor activity [GO:0003700]"	2514	3614	2068	7646	4930	5755	3341	6506	4219	2102	4516	3992
"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]"	37	229	27	1	105	5	196	63	60	265	199	223
"DNA-binding transcription repressor activity [GO:0001217]"	0	2	0	2	1	1	1	1	0	1	1	3
"DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]"	10	35	8	1	17	0	25	6	6	37	26	33
"DNA-deoxyinosine glycosylase activity [GO:0033958]"	2	4	4	10	10	7	7	12	4	0	3	4
"DNA-dependent protein kinase activity [GO:0004677]"	0	0	0	0	1	0	0	1	0	2	0	3
"DNA-directed 5'-3' RNA polymerase activity [GO:0003899]"	372	667	358	1049	695	857	593	1013	583	437	671	672
"DNA-directed DNA polymerase activity [GO:0003887]"	703	1400	626	1789	1356	1506	1104	1829	1160	915	1282	1485
"DNA-methyltransferase activity [GO:0009008]"	0	4	1	0	2	0	2	0	0	2	4	3
"DNA-N1-methyladenine dioxygenase activity [GO:0043734]"	0	1	0	0	0	0	0	0	0	0	0	0
"dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity [GO:0052925]"	0	3	0	0	1	0	0	1	0	1	3	1
"dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052926]"	0	1	0	0	0	0	1	1	0	1	1	1
"dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052918]"	0	1	0	0	0	0	1	1	0	1	1	1
"dolichol kinase activity [GO:0004168]"	0	0	0	0	1	0	2	0	1	2	1	0
"dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity [GO:0042283]"	0	1	0	0	1	0	1	0	1	0	0	0
"dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity [GO:0106073]"	0	1	0	0	0	0	0	0	0	0	0	0
"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity [GO:0042281]"	0	0	0	0	2	0	0	0	0	1	0	1
"dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]"	0	6	1	0	4	0	5	1	2	3	7	2
"dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase [GO:0052917]"	41	238	34	12	135	7	172	68	62	186	138	213
"dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]"	4	8	3	16	7	10	6	13	7	9	6	13
"dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]"	1	0	0	0	0	0	0	0	0	0	0	0
"dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]"	22	35	18	35	27	32	33	40	30	32	18	24
"dolichyldiphosphatase activity [GO:0047874]"	1	0	1	0	1	0	0	1	1	2	0	0
"dopachrome isomerase activity [GO:0004167]"	0	0	0	0	0	0	0	0	1	0	0	0
"dopamine beta-monooxygenase activity [GO:0004500]"	0	3	0	0	1	0	1	0	1	1	2	0
"dopamine binding [GO:0035240]"	0	0	0	0	2	0	1	0	0	0	1	0
"dopamine neurotransmitter receptor activity [GO:0004952]"	1	3	1	0	2	0	1	0	1	3	3	1
"dopamine neurotransmitter receptor activity, coupled via Gi/Go [GO:0001591]"	0	0	0	0	0	0	0	0	1	0	0	0
"dopamine:sodium symporter activity [GO:0005330]"	0	1	0	0	2	0	0	0	1	1	1	1
"double-stranded DNA binding [GO:0003690]"	59	94	59	232	136	159	97	177	97	42	114	114
"double-stranded methylated DNA binding [GO:0010385]"	0	1	0	0	0	0	1	0	0	0	0	0
"double-stranded RNA adenosine deaminase activity [GO:0003726]"	0	3	0	3	0	4	1	6	0	1	1	4
"double-stranded RNA binding [GO:0003725]"	58	88	46	141	105	116	88	147	89	63	100	102
"double-stranded telomeric DNA binding [GO:0003691]"	0	4	0	0	1	0	3	0	0	3	1	4
"drug binding [GO:0008144]"	0	0	0	0	0	1	0	0	1	1	3	3
"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase activity [GO:0019179]"	4	4	2	6	3	3	4	5	3	2	4	4
"dTDP-4-amino-4,6-dideoxygalactose transaminase activity [GO:0019180]"	3	10	6	16	15	17	9	14	8	9	16	12
"dTDP-4-dehydro-6-deoxyglucose reductase activity [GO:0050573]"	0	0	0	1	0	0	0	0	0	0	0	0
"dTDP-4-dehydrorhamnose 3,5-epimerase activity [GO:0008830]"	34	52	23	86	61	61	38	72	62	25	56	46
"dTDP-4-dehydrorhamnose reductase activity [GO:0008831]"	29	43	26	102	62	92	47	103	49	22	48	55
"dTDP-glucose 4,6-dehydratase activity [GO:0008460]"	41	69	28	118	80	91	52	103	71	31	70	61
"dTTP diphosphatase activity [GO:0036218]"	31	43	31	97	60	73	44	86	52	32	50	42
"dUTP diphosphatase activity [GO:0004170]"	36	154	36	114	107	78	119	114	83	126	127	116
"dynactin binding [GO:0034452]"	1	7	2	0	6	0	7	4	3	9	3	9
"dynein complex binding [GO:0070840]"	4	15	4	1	9	0	14	4	4	20	16	17
"dynein heavy chain binding [GO:0045504]"	1	1	0	0	1	0	2	1	0	2	0	1
"dynein intermediate chain binding [GO:0045505]"	1	25	4	0	7	0	20	5	4	17	15	18
"dynein light chain binding [GO:0045503]"	2	7	2	0	4	0	8	2	2	8	2	8
"dynein light intermediate chain binding [GO:0051959]"	1	26	5	0	11	0	19	6	4	21	18	20
"dynorphin receptor activity [GO:0038048]"	0	0	0	0	0	0	0	0	0	0	1	0
"dystroglycan binding [GO:0002162]"	0	1	0	0	0	0	1	0	0	2	2	2
"E-box binding [GO:0070888]"	1	3	0	0	6	1	6	3	1	5	5	9
"ecdysone binding [GO:0035100]"	0	0	0	0	0	0	0	0	1	0	1	1
"Edg-2 lysophosphatidic acid receptor binding [GO:0031755]"	1	0	0	0	0	0	0	0	0	0	2	0
"efflux transmembrane transporter activity [GO:0015562]"	104	117	110	140	136	126	112	136	129	150	137	122
"EGF-domain serine glucosyltransferase activity [GO:0140561]"	0	0	0	0	0	0	1	0	0	0	0	0
"EGF-domain serine xylosyltransferase activity [GO:0140562]"	0	0	0	0	0	0	1	0	0	0	0	0
"EH domain binding [GO:1990175]"	0	0	1	0	0	0	0	0	0	1	0	0
"electron transfer activity [GO:0009055]"	443	611	433	1370	834	994	631	1180	735	368	765	705
"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]"	0	0	0	0	0	1	0	0	0	0	1	0
"electron-transferring-flavoprotein dehydrogenase activity [GO:0004174]"	0	3	1	2	1	1	1	2	0	0	0	3
"elongation factor-2 kinase activity [GO:0004686]"	0	0	0	0	0	0	2	1	0	2	1	1
"enamidase activity [GO:0043792]"	0	0	0	0	0	0	0	0	0	0	2	0
"endo-1,4-beta-xylanase activity [GO:0031176]"	16	22	15	59	42	40	32	76	34	18	25	24
"endodeoxyribonuclease activity [GO:0004520]"	23	38	23	56	46	56	40	48	47	13	38	27
"endodeoxyribonuclease activity, producing 3'-phosphomonoesters [GO:0016889]"	0	0	1	0	0	0	1	1	0	2	1	2
"endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]"	38	68	26	130	76	101	55	124	72	34	75	67
"endonuclease activity [GO:0004519]"	1182	5404	958	2485	3026	2003	3813	2717	2070	4373	3993	4529
"endopeptidase activator activity [GO:0061133]"	0	1	0	0	0	0	1	2	1	2	1	1
"endopeptidase activity [GO:0004175]"	2	10	2	3	6	3	11	7	6	13	11	9
"endopeptidase inhibitor activity [GO:0004866]"	9	23	9	19	35	17	23	40	22	35	18	30
"endoplasmic reticulum signal peptide binding [GO:0030942]"	0	0	0	0	2	0	5	0	0	4	3	4
"endoribonuclease activity [GO:0004521]"	136	239	141	512	321	388	202	459	270	120	237	234
"endoribonuclease activity, producing 5'-phosphomonoesters [GO:0016891]"	0	2	1	0	1	0	1	2	3	1	1	0
"endoribonuclease inhibitor activity [GO:0060698]"	0	0	0	0	0	0	0	0	1	0	1	0
"endothelin receptor activity [GO:0004962]"	0	3	1	0	3	0	0	2	0	1	1	3
"energy transducer activity [GO:0031992]"	6	7	6	7	7	7	8	8	7	8	9	7
"enkephalin receptor activity [GO:0038046]"	0	1	0	0	0	0	0	0	0	1	1	0
"enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]"	8	26	6	16	15	13	14	13	13	10	9	19
"enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity [GO:0047117]"	0	5	0	0	2	1	5	0	0	3	2	3
"enoyl-[acyl-carrier-protein] reductase activity [GO:0016631]"	6	7	5	15	14	12	12	12	11	9	8	6
"enoyl-CoA hydratase activity [GO:0004300]"	5	11	10	13	7	15	9	12	7	5	10	8
"enzyme activator activity [GO:0008047]"	3	14	7	4	7	3	11	11	5	11	9	12
"enzyme binding [GO:0019899]"	6	48	9	0	18	1	37	7	9	39	34	38
"enzyme inhibitor activity [GO:0004857]"	2	10	0	0	4	0	4	2	1	5	8	8
"enzyme regulator activity [GO:0030234]"	54	55	43	85	86	67	72	82	90	31	80	59
"ephrin receptor activity [GO:0005003]"	2	23	7	0	11	1	15	2	8	20	20	21
"ephrin receptor binding [GO:0046875]"	1	12	1	0	4	1	15	3	4	28	6	13
"epidermal growth factor binding [GO:0048408]"	1	0	0	0	0	0	0	0	1	0	0	0
"epidermal growth factor receptor binding [GO:0005154]"	1	10	1	0	4	0	11	1	6	10	10	3
"epidermal growth factor-activated receptor activity [GO:0005006]"	0	0	0	0	0	0	0	0	0	0	1	1
"epoxide hydrolase activity [GO:0004301]"	0	1	0	2	3	0	0	1	0	2	2	1
"epoxyqueuosine reductase activity [GO:0052693]"	25	35	13	84	48	63	40	76	40	14	44	38
"ER retention sequence binding [GO:0046923]"	1	4	0	0	2	1	1	0	2	5	5	4
"ErbB-2 class receptor binding [GO:0005176]"	0	1	0	0	0	0	0	0	0	2	3	1
"ErbB-3 class receptor binding [GO:0043125]"	0	1	0	0	0	0	1	0	0	1	0	0
"ErbB-4 class receptor binding [GO:1990631]"	0	0	0	0	0	0	0	0	0	0	0	1
"erythronolide synthase activity [GO:0047879]"	0	0	0	0	1	0	0	0	0	0	0	0
"estradiol 17-beta-dehydrogenase activity [GO:0004303]"	0	9	0	0	4	1	6	1	1	4	3	2
"estradiol binding [GO:1903924]"	0	1	0	0	0	0	1	0	0	0	1	0
"estrogen 16-alpha-hydroxylase activity [GO:0101020]"	0	0	1	0	0	0	1	0	0	2	1	0
"estrogen 2-hydroxylase activity [GO:0101021]"	0	0	1	0	0	0	0	0	0	0	0	0
"estrogen receptor activity [GO:0030284]"	0	3	2	0	1	0	1	0	0	2	1	2
"estrogen receptor binding [GO:0030331]"	1	10	0	0	8	0	6	0	1	7	11	14
"ethanol binding [GO:0035276]"	0	1	0	0	0	0	0	0	0	1	1	0
"ethanolamine ammonia-lyase activity [GO:0008851]"	4	9	7	24	14	25	12	39	9	5	10	19
"ethanolamine kinase activity [GO:0004305]"	0	0	0	0	0	0	1	0	0	0	0	0
"ethanolamine transmembrane transporter activity [GO:0034228]"	18	5	15	30	31	21	13	22	23	4	19	11
"ethanolamine-phosphate cytidylyltransferase activity [GO:0004306]"	1	2	2	4	3	7	4	7	3	8	5	2
"euchromatin binding [GO:1990188]"	0	1	0	0	0	0	1	0	0	0	0	0
"eukaryotic initiation factor 4E binding [GO:0008190]"	1	7	0	0	2	0	3	1	0	2	2	4
"eukaryotic initiation factor 4G binding [GO:0031370]"	0	0	0	0	0	0	0	0	0	0	1	0
"eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]"	0	6	1	0	0	0	4	1	1	3	6	4
"excinuclease ABC activity [GO:0009381]"	158	243	126	486	278	369	195	452	279	116	232	258
"exo-1,4-beta-D-glucosaminidase activity [GO:0052761]"	2	11	4	14	3	11	4	8	3	6	5	5
"exo-alpha-(2->3)-sialidase activity [GO:0052794]"	3	8	4	4	4	9	5	7	4	6	3	12
"exo-alpha-(2->6)-sialidase activity [GO:0052795]"	3	8	4	4	4	9	5	7	4	6	3	12
"exo-alpha-(2->8)-sialidase activity [GO:0052796]"	3	8	4	4	4	9	5	7	4	6	3	12
"exo-alpha-sialidase activity [GO:0004308]"	11	49	7	47	23	38	16	48	21	31	18	57
"exo-poly-alpha-galacturonosidase activity [GO:0033917]"	3	2	3	9	5	8	3	5	7	4	7	2
"exodeoxyribonuclease I activity [GO:0008852]"	1	2	1	1	1	1	1	2	1	1	1	2
"exodeoxyribonuclease III activity [GO:0008853]"	49	265	33	131	129	106	145	130	96	191	145	193
"exodeoxyribonuclease V activity [GO:0008854]"	6	7	5	6	3	6	3	9	3	6	5	6
"exodeoxyribonuclease VII activity [GO:0008855]"	61	88	51	220	126	150	100	183	105	45	111	84
"exonuclease activity [GO:0004527]"	425	3349	334	821	1513	669	2148	1060	821	2827	2103	2628
"exopeptidase activity [GO:0008238]"	0	0	0	0	0	0	1	0	0	2	1	1
"exopolyphosphatase activity [GO:0004309]"	2	5	3	8	1	10	2	5	3	3	2	4
"exoribonuclease activity [GO:0004532]"	0	0	0	0	0	0	1	0	0	0	0	0
"exoribonuclease H activity [GO:0004533]"	1	0	0	0	0	0	0	0	0	1	0	0
"exoribonuclease II activity [GO:0008859]"	60	71	33	124	84	108	49	125	68	40	65	63
"extracellular ligand-gated ion channel activity [GO:0005230]"	2	31	7	0	15	0	36	4	11	32	25	24
"extracellular matrix binding [GO:0050840]"	0	10	1	0	4	0	6	2	2	6	5	6
"extracellular matrix constituent conferring elasticity [GO:0030023]"	0	0	0	0	0	0	0	0	0	3	0	1
"extracellular matrix protein binding [GO:1990430]"	0	1	0	0	1	0	1	0	0	1	1	0
"extracellular matrix structural constituent [GO:0005201]"	8	60	11	2	28	5	46	10	12	51	45	53
"extracellular matrix structural constituent conferring compression resistance [GO:0030021]"	0	0	0	0	1	0	2	0	0	1	1	0
"extracellular matrix structural constituent conferring tensile strength [GO:0030020]"	0	1	0	0	0	0	0	0	0	0	0	0
"extracellularly ATP-gated cation channel activity [GO:0004931]"	1	6	3	0	1	0	4	1	2	5	4	4
"extracellularly glycine-gated chloride channel activity [GO:0016934]"	0	5	0	0	1	0	3	1	1	3	2	4
"F-box domain binding [GO:1990444]"	0	0	0	0	0	0	0	1	0	0	0	0
"FAD binding [GO:0071949]"	114	166	106	293	221	217	178	264	204	113	234	195
"FAD-AMP lyase (cyclizing) activity [GO:0034012]"	1	2	1	0	1	0	1	0	2	1	3	3
"farnesol dehydrogenase activity [GO:0047886]"	0	1	0	0	0	0	0	1	0	0	0	0
"farnesyl-diphosphate farnesyltransferase activity [GO:0004310]"	1	1	1	2	1	1	1	2	1	1	1	2
"farnesyltranstransferase activity [GO:0004311]"	0	2	0	4	0	2	0	1	0	0	0	1
"fatty acid amide hydrolase activity [GO:0017064]"	0	1	0	0	1	0	2	0	1	5	0	1
"fatty acid binding [GO:0005504]"	0	2	2	1	0	0	3	1	0	2	3	3
"fatty acid elongase activity [GO:0009922]"	1	3	1	0	3	0	8	0	0	3	3	2
"fatty acid ligase activity [GO:0015645]"	0	0	0	0	1	0	0	0	0	0	0	0
"fatty acid omega-hydroxylase activity [GO:0120250]"	0	0	0	0	0	1	0	0	0	0	0	0
"fatty acid synthase activity [GO:0004312]"	0	3	1	0	1	1	3	1	0	1	1	1
"fatty acid transmembrane transporter activity [GO:0015245]"	0	4	1	0	3	1	4	1	0	3	2	2
"fatty-acyl-CoA binding [GO:0000062]"	0	9	0	1	5	1	7	1	0	11	8	8
"fatty-acyl-CoA reductase (alcohol-forming) activity [GO:0080019]"	0	7	1	0	3	0	7	0	0	6	7	5
"FATZ binding [GO:0051373]"	0	0	0	0	0	0	1	0	0	0	0	0
"FBXO family protein binding [GO:0098770]"	0	0	0	0	0	0	0	0	0	0	1	0
"Fc-gamma receptor I complex binding [GO:0034988]"	0	2	0	0	0	0	1	0	0	0	1	2
"ferredoxin hydrogenase activity [GO:0008901]"	57	93	54	176	107	134	82	172	85	40	104	93
"ferredoxin-NADP+ reductase activity [GO:0004324]"	4	3	4	9	5	9	5	7	3	2	4	2
"ferric iron binding [GO:0008199]"	29	42	24	55	52	51	32	52	42	34	44	39
"ferric-chelate reductase (NADPH) activity [GO:0052851]"	0	0	0	0	1	0	0	0	0	0	0	0
"ferric-chelate reductase activity [GO:0000293]"	0	1	0	0	2	0	1	0	0	2	2	1
